Empresa,data_formatada,Posi,pos_ind,Neg,neg_ind,Neutral,neu_ind,indice
natura-2T2021,2T2021,180,0.4787234042553192,12,0.031914893617021274,184,0.48936170212765956,0.44680851063829785
natura-1T2014,2014-04-25,111,0.22745901639344263,24,0.04918032786885246,353,0.7233606557377049,0.17827868852459017
natura-3T2020,3T2020,200,0.4807692307692308,19,0.04567307692307692,197,0.4735576923076923,0.43509615384615385
natura-2T2011,2011-07-22,86,0.15008726003490402,93,0.16230366492146597,394,0.68760907504363,-0.012216404886561954
natura-2T2017,2017-07-27,126,0.30434782608695654,34,0.0821256038647343,254,0.6135265700483091,0.2222222222222222
natura-2T2010,2010-07-23,131,0.25047801147227533,28,0.05353728489483748,364,0.6959847036328872,0.19694072657743786
natura-3T2016,2016-10-27,96,0.2077922077922078,69,0.14935064935064934,297,0.6428571428571429,0.05844155844155844
natura-1T2011,2011-04-29,101,0.1894934333958724,59,0.11069418386491557,373,0.699812382739212,0.07879924953095685
natura-3T2021,3T2021,154,0.43874643874643876,34,0.09686609686609686,163,0.46438746438746437,0.3418803418803419
natura-3T2015,2015-10-22,126,0.22702702702702704,50,0.09009009009009009,379,0.6828828828828829,0.13693693693693693
natura-3T2011,2011-10-28,105,0.24647887323943662,53,0.12441314553990611,268,0.6291079812206573,0.12206572769953052
natura-2T2016,2016-07-28,143,0.23953098827470687,57,0.09547738693467336,397,0.6649916247906198,0.1440536013400335
natura-1T2015,2015-04-30,136,0.20763358778625954,60,0.0916030534351145,459,0.7007633587786259,0.11603053435114503
natura-1T2018,2018-05-11,129,0.3449197860962567,18,0.0481283422459893,227,0.606951871657754,0.2967914438502674
natura-2T2020,2T2020,8,0.8888888888888888,1,0.1111111111111111,0,0.0,0.7777777777777778
natura-4T2022,4T2022,134,0.3621621621621622,52,0.14054054054054055,184,0.4972972972972973,0.22162162162162163
natura-3T2014,2014-10-24,92,0.24533333333333332,21,0.056,262,0.6986666666666667,0.18933333333333333
natura-2T2019,2T2019,0,0.0,4,0.3333333333333333,8,0.6666666666666666,-0.3333333333333333
natura-3T2010,2010-10-22,95,0.3104575163398693,23,0.07516339869281045,188,0.6143790849673203,0.23529411764705882
natura-4T2016,2017-02-23,122,0.2629310344827586,41,0.08836206896551724,301,0.6487068965517241,0.17456896551724138
natura-4T2013,2014-02-14,122,0.23238095238095238,38,0.07238095238095238,365,0.6952380952380952,0.16
natura-4T2015,2016-02-18,127,0.22010398613518198,111,0.1923743500866551,339,0.587521663778163,0.02772963604852686
natura-3T2019,3T2019,13,1.0,0,0.0,0,0.0,1.0
natura-4T2010,2011-02-25,90,0.2571428571428571,30,0.08571428571428572,230,0.6571428571428571,0.17142857142857143
natura-4T2012,2013-02-08,112,0.2660332541567696,26,0.06175771971496437,283,0.672209026128266,0.2042755344418052
natura-4T2020,4T2020,171,0.48857142857142855,19,0.054285714285714284,160,0.45714285714285713,0.4342857142857143
hapvida-4T2021,4T2021,159,0.2548076923076923,87,0.13942307692307693,378,0.6057692307692307,0.11538461538461539
hapvida-3T2022,3T2022,111,0.32456140350877194,52,0.15204678362573099,179,0.5233918128654971,0.17251461988304093
hapvida-2T2018,2018-08-14,78,0.3046875,44,0.171875,134,0.5234375,0.1328125
hapvida-1T2019,1T2019,83,0.30855018587360594,55,0.20446096654275092,131,0.48698884758364314,0.10408921933085502
hapvida-1T2020,2020-05-21,114,0.3081081081081081,43,0.11621621621621622,213,0.5756756756756757,0.1918918918918919
hapvida-3T2018,3T2018,131,0.34656084656084657,36,0.09523809523809523,211,0.5582010582010583,0.25132275132275134
hapvida-2T2022,2T2022,129,0.3543956043956044,30,0.08241758241758242,205,0.5631868131868132,0.27197802197802196
hapvida-1T2022,1T2022,182,0.31217838765008576,75,0.12864493996569468,326,0.5591766723842195,0.1835334476843911
hapvida-1T2021,1T2021,108,0.288,59,0.15733333333333333,208,0.5546666666666666,0.13066666666666665
hapvida-2T2021,2T2021,124,0.3415977961432507,70,0.1928374655647383,169,0.465564738292011,0.1487603305785124
hapvida-3T2020,3T2020,103,0.4309623430962343,15,0.06276150627615062,121,0.5062761506276151,0.3682008368200837
hapvida-3T2021,2021-11-12,158,0.3495575221238938,75,0.16592920353982302,219,0.48451327433628316,0.1836283185840708
