Date,event,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
2016-09-20,0,12.247688293457031,12.461344718933104,12.006946563720703,12.446298599243164,10.9646577835083,2233771,0.0264591416531982,0.0038758967752208,-0.0033792637262923,0.0211572619784144,0.0468360182648849,0.0864757256138067,1,0,0
2016-09-21,0,12.46435546875,12.566670417785645,11.910651206970217,12.566670417785645,11.070700645446776,3633783,0.0096248268410174,0.037823310406761,0.0079337293038037,0.0211520843042268,0.0468298578342273,0.0864493855507668,1,1,0
2016-09-22,0,12.644909858703612,12.714122772216797,12.118289947509766,12.256715774536133,10.79764461517334,4666927,-0.0249740910211034,0.0273785021672885,0.0066511040554492,0.0211549337918453,0.0468196678941845,0.0864230922981596,-1,1,0
2016-09-23,0,12.23264217376709,12.36805820465088,12.00393772125244,12.118289947509766,10.67569637298584,2467716,-0.0113581360154745,0.0175354677570425,-0.0007447480836876,0.0211505633361489,0.0468069768374351,0.0863971800406779,-1,1,0
2016-09-26,0,11.976855278015137,12.178475379943848,11.898613929748535,12.064123153686523,10.627978324890137,1537919,-0.0044798576706593,0.0047506569646193,-0.0081978287381762,0.0211445579036138,0.0467929038133689,0.0863720398624935,-1,1,0
2016-09-27,0,12.064123153686523,12.211577415466309,11.856484413146973,11.985881805419922,10.559051513671877,2719937,-0.0065065786416335,-0.0112346948546551,0.0020105161598517,0.0211389000677396,0.046780061303026,0.0863459960112411,-1,-1,0
2016-09-28,0,12.061114311218262,12.250697135925291,11.901622772216797,12.03403091430664,10.601468086242676,2318510,0.0040091047740202,-0.033684731733833,0.0085384837919688,0.0211327376181608,0.0467744833372314,0.0863197684748598,1,-1,0
2016-09-29,0,12.082179069519045,12.253706932067873,11.850465774536133,11.943753242492676,10.52193832397461,3289180,-0.0075301452217956,-0.050839703796646,-0.0197087117119479,0.0211273071685514,0.0467788005504803,0.086296618065319,-1,-1,-1
2016-09-30,0,12.00393772125244,12.184494018554688,11.934724807739258,11.934724807739258,10.513981819152832,2653808,-0.0007561985453727,-0.0266218113209155,-0.0256393101690582,0.0211209976862867,0.0467702324296019,0.0862748382801357,0,-1,-1
2016-10-03,0,11.922687530517578,12.350003242492676,11.886576652526855,12.316901206970217,10.894153594970703,2155014,0.031520199117968,0.0162565238125269,0.015263701984797,0.0211283452063237,0.0467573821047063,0.0862487814781093,1,1,1
2016-10-04,0,12.353012084960938,12.3560209274292,12.16944694519043,12.307872772216797,10.886167526245115,2999076,-0.0007332806518833,0.020003100831303,0.0063772302259713,0.0211220427923651,0.0467452884690693,0.0862226814971755,0,1,0
2016-10-05,0,12.36203956604004,12.470373153686523,12.319910049438477,12.413196563720703,10.979327201843262,2421525,0.0085210253124493,0.0350307047853859,-0.019208348547318,0.0211166423525005,0.0467380033812542,0.0861995095229958,1,1,-1
2016-10-06,0,12.36805820465088,12.413196563720703,12.199540138244627,12.337965965270996,10.9127836227417,2103839,-0.0060789734650694,0.024942626546296,-0.028848114041211,0.0211109385166301,0.0467271804344023,0.0861786403439409,-1,1,-1
