Date,event,Open,High,Low,Close,Adj Close,Volume,WClose,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
2014-02-04,0,2.2652359008789062,2.279850006103516,2.174626111984253,2.206778049468994,2.035130262374878,3514335,0.9088300505296988,-0.0157689589468845,-0.0825868560288088,0.0106525398076618,0.0305363347240708,0.082295941629231,0.1570561584320709,-1,-1,0
2014-02-05,0,2.20970106124878,2.2652359008789062,2.154165983200073,2.25062108039856,2.0755629539489746,4917743,0.9821697243918324,0.0196725921536001,-0.0444518225026697,-0.0205661223763051,0.0305243771815132,0.0822482678727224,0.1569378683802297,1,-1,-1
2014-02-06,0,2.2447760105133057,2.3324620723724365,2.2447760105133057,2.3061559200286865,2.1267778873443604,5929414,1.0447982977903103,0.0243756854508288,0.0191941661292022,-0.0213175034432247,0.030517608564453,0.082193771192296,0.1568198333446656,1,1,-1
2014-02-07,0,2.317847967147827,2.405534029006958,2.288619041442871,2.396765947341919,2.210340738296509,3160575,1.0371460031785285,0.0385385784243798,0.0372718303537861,-0.0024354299150729,0.0305327496866451,0.0821505774294919,0.1567039993805301,1,1,0
2014-02-10,0,2.3879969120025635,2.423072099685669,2.2944650650024414,2.3061559200286865,2.1267778873443604,5881516,1.1872110398347344,-0.0385385784243798,-0.0075758623394601,-0.0360961214189175,0.0305440322063389,0.0820904271419166,0.1565873621350476,-1,0,-1
2014-02-11,0,2.323693037033081,2.3616909980773926,2.314924955368042,2.338308095932007,2.1564290523529053,4592037,1.3188274001099238,0.0138455316769696,0.0421248503345142,-0.0185761162905895,0.0305271361749434,0.0820513932003971,0.1564701886410725,1,1,-1
2014-02-12,0,2.382150888442993,2.382150888442993,2.2681589126586914,2.3032329082489014,2.124082088470459,2379497,1.2838547544950472,-0.0151138864337195,0.0427799228476791,-0.0398069331811296,0.0305097031546266,0.0820129621932348,0.1563546192640501,-1,1,-1
2014-02-13,0,2.300309896469116,2.300309896469116,2.1833949089050293,2.23016095161438,2.0566940307617188,2152667,1.3097699051472025,-0.0322398964574442,-0.0091325657633652,-0.0781252840911639,0.0305106455934781,0.081953234902842,0.1562525976630256,-1,-1,-1
2014-02-14,0,2.2535440921783447,2.288619041442871,2.1863179206848145,2.2652359008789062,2.089040517807007,1923783,1.326929751689485,0.0156050239459423,-0.0179032272682518,-0.0661504885055743,0.030495201987884,0.0818947591985834,0.1561451260281,1,-1,-1
2014-02-17,0,2.282773017883301,2.3061559200286865,2.25646710395813,2.285696029663086,2.1079094409942627,1850226,1.3090752520682272,0.0089917918990362,-0.0474500137935954,-0.0691631126677842,0.0304755919381493,0.0818502124941604,0.1560391622268707,1,-1,-1
2014-02-18,0,2.2944650650024414,2.3032329082489014,2.25062108039856,2.291542053222656,2.1133008003234863,2325441,1.270915640746611,0.0025544154176546,-0.0063570199515608,-0.0412301051651857,0.0304539378113653,0.081790793104688,0.1559248045624575,0,0,-1
2014-02-19,0,2.27108097076416,2.285696029663086,2.1687800884246826,2.180471897125244,2.010870218276977,2849581,1.194572523264669,-0.0496835126998373,-0.0698860643283679,-0.0994448053852502,0.0304877707416258,0.0817671878771151,0.1558369853195104,-1,-1,-1
2014-02-20,0,2.177548885345459,2.177548885345459,2.098630905151367,2.1015539169311523,1.938090324401856,4359048,1.1235946280863334,-0.0368644533929962,-0.0916366312876446,-0.1253266340119536,0.030495906257044,0.0817720971673393,0.1557712770024927,-1,-1,-1
