Date,event,Open,High,Low,Close,Adj Close,Volume,WClose,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
2015-01-16,0,7.556665897369385,8.166666030883789,7.556665897369385,8.133333206176758,6.688399314880371,2899800,7.574324551775854,0.0713375986939526,-0.0444874767092079,-0.3607648990434327,0.0248082460041524,0.0750693200075176,0.1255127436444363,1,-1,-1
2015-01-19,0,8.166666030883789,8.166666030883789,7.849999904632568,7.869999885559082,6.471848964691162,875400,7.266450769803382,-0.0329127374172841,-0.0809220045037391,-0.3587903915766852,0.0248430296547174,0.075105176282171,0.1274145191605292,-1,-1,-1
2015-01-20,0,7.916666030883789,8.203332901000977,7.800000190734863,8.09666633605957,6.658246994018555,693300,6.264697612201251,0.0283943930389776,0.0699048261405334,-0.3163932089963265,0.0248528754352479,0.0750758767011385,0.1288331292326736,1,1,-1
2015-01-21,0,8.136666297912598,8.236665725708008,7.960000038146973,8.233332633972168,6.770634174346924,1139100,4.984414735756271,0.016738520944883,0.0451329139838604,-0.2713552230726995,0.024828601889948,0.0749869708075172,0.1298213409085706,1,1,-1
2015-01-22,0,8.296666145324707,8.296666145324707,7.0,7.666666030883789,6.304638862609863,5165100,5.383225451398695,-0.0713090668990792,-0.042142813190906,-0.3760511845210732,0.0251306626091137,0.0749091879349174,0.1317706950438417,-1,-1,-1
2015-01-23,0,7.7133331298828125,8.039999961853027,7.646666049957275,7.869999885559082,6.471848964691162,2922000,5.653499091094785,0.0261761529152188,0.0384248612766684,-0.362629279097887,0.0251319781647013,0.0748100208820957,0.1335240269996019,1,1,-1
2015-01-26,0,8.100000381469727,8.100000381469727,7.420000076293945,7.806665897369385,6.419766902923584,1937100,5.738877485420467,-0.008080033668186,-0.0409927710854702,-0.4680803805689932,0.0250957533660571,0.0747307392587458,0.1364222110708002,-1,-1,-1
2015-01-27,0,7.75333309173584,7.926665782928467,7.570000171661377,7.836666107177734,6.444437026977539,397500,5.083040029396925,0.0038354731364016,-0.0042445605317843,-0.4343919583774911,0.0250553683614777,0.0746080423374747,0.138819123422858,1,0,-1
2015-01-28,0,7.796666145324707,7.806665897369385,7.3333330154418945,7.449999809265137,6.126464366912842,176400,4.925175772714884,-0.0505994740553456,-0.0832384276261077,-0.4716800359397604,0.0251845518946935,0.074653098514166,0.1415753747999111,-1,-1,-1
2015-01-29,0,7.283332824707031,7.489999771118164,7.283332824707031,7.433332920074463,6.112758636474609,1902900,5.150340279389686,-0.0022396415464327,-0.1022165901174233,-0.4916290235179595,0.0251441197031671,0.0747773396761286,0.1444797504610974,0,-1,-1
2015-01-30,0,7.3333330154418945,7.3333330154418945,6.453332901000977,6.916666030883789,5.687880516052246,2396700,4.895731318544625,-0.0720404806611398,-0.1029480038794839,-0.57566535662396,0.0254392186187542,0.0749023411255183,0.1483672102991502,-1,-1,-1
2015-02-02,0,6.666666030883789,6.940000057220459,6.4466657638549805,6.823332786560059,5.611128330230713,1772100,5.084738165016928,-0.0135858582660007,-0.1427100150607034,-0.5463380276472616,0.0254102918672333,0.0752424666303868,0.1517194448986214,-1,-1,-1
2015-02-03,0,6.846665859222412,6.863333225250244,6.119999885559082,6.283332824707031,5.167062282562256,4141500,5.826235789666836,-0.0824475245501777,-0.2170775059426951,-0.5765240470338804,0.0257974709229772,0.0761585815147389,0.1553362551717305,-1,-1,-1
2015-02-04,0,6.28000020980835,6.53000020980835,6.073332786560059,6.516665935516357,5.358942985534668,3386400,6.287267438119812,0.0364624482999172,-0.1844505307791796,-0.4754237496219241,0.0258386330867372,0.0767722219133912,0.1576486039391279,1,-1,-1
2015-02-05,0,6.440000057220459,6.866665840148926,6.440000057220459,6.800000190734863,5.591940879821777,1755900,5.28236451543503,0.0425596811535714,-0.0912913755702625,-0.2803020333719242,0.025908522170326,0.0768282122550635,0.1582786200640355,1,-1,-1
2015-02-06,0,6.75,6.75,5.97333288192749,6.0,4.934065341949463,2802600,5.057813835043543,-0.1251631713780765,-0.2142149054019063,-0.3565082808606126,0.0268143595709272,0.0776715144168367,0.1594261631138344,-1,-1,-1
2015-02-09,0,6.00666618347168,6.059999942779541,5.75666618347168,5.813333034515381,4.7805609703063965,1161600,4.753733172440545,-0.0316053637974472,-0.1737797885382137,-0.3803041594594086,0.0268300198943902,0.078171825173035,0.1607363225541387,-1,-1,-1
